CVEGEO	AB	CPLUS	C	CMINUS	DPLUS	D	E	NSE_LABEL	TOTAL
0100100010017	0	12	39	111	153	331	-	D	648
010010001006A	178	124	60	24	9	4	0	A/B	399
0100100010106	183	375	247	128	62	32	-	C+	1028
0100100010163	35	157	228	167	124	78	0	C	789
0100100010182	345	187	63	46	13	6	0	A/B	660
0100100010229	25	36	14	20	9	7	0	C+	111
0100100010233	98	106	63	44	40	56	34	C+	441
0100100010286	277	243	197	139	94	70	8	A/B	1028
0200406485033									
0200406595033		0		4	3	20	12	D	42
0200406615033	0		3	10	8	21	5	D	49
0200406672185	0	0		0			0	D+	4	
